"r_1/2, SFK","r_1/10, SFK","r_1/2, pG1S2","r_1/10, pG1S2",[pG1S2]_cent:surf,[pG1S2]_average,param,type
0.7349139704812306,0.7439910981876492,0.5249340603580224,0.6145220693295046,0.5104245041882642,0.04036116428169467,Dsfk,ST
0.0006413944100674973,0.0005711997393541557,0.025471240182455723,0.0415267623585438,0.009678992347836757,0.014567644563946325,Dg2,ST
0.0009386345392959905,0.0008073116231523958,0.10502815892479322,0.11738480508100191,0.11868640975080313,0.01361454818791863,Dg2g1,ST
0.0005841056050363003,0.0005214369593822266,0.10708286287611624,0.06753387493934482,0.20881677324909254,0.012056497060082938,Dg2g1s2,ST
0.0010100376340367312,0.00047748909281364327,0.33416804095121744,0.49724884965932514,0.23993783548223602,0.00792281581309806,Dg1,ST
0.00045124838699384107,0.0005736394772540843,0.4210100646064534,0.554124202928361,0.32249121028210237,0.014858870755368736,Dg1s2,ST
0.0005790181496921898,0.0006470892811827333,0.021105754622734896,0.011212503785991923,0.015573867827135879,0.00748854626284301,Ds2,ST
0.0006386003052388789,0.0010977656830901683,0.21653880446341522,0.3332941576160424,0.15951920444194,0.3951443929859486,kS2f,ST
0.0005467815879156568,0.0010165095842430416,0.18857208437005812,0.2649430584221706,0.16134229509621356,0.4420496660259261,kS2r,ST
0.0006854864117463721,0.0009027198996331975,0.22246245347839977,0.4086937291278937,0.2150984519932061,0.0321646959335824,kG1f,ST
0.0005516568981087655,0.0018610090705900584,0.050746407590567144,0.05771548938889581,0.03512141887981657,0.017241795275192873,kG1r,ST
0.0021956502572900716,0.0037900101082244397,0.03535743239472766,0.06363701894609541,0.011982312120798588,0.039804740364454916,kG2f,ST
0.0025652035671430706,0.0039084722496449675,0.03694612232340688,0.040798534395933284,0.01877046770717916,0.0336290016131624,kG2r,ST
0.0007930152721467021,0.0010932606430343883,0.08731948314186921,0.13059190055510905,0.09752248609028036,0.24359458788192234,kG1p,ST
0.000585733481847317,0.0006225616007294876,0.3538074045668508,0.431467180873251,0.3438937902625825,0.06087853526850895,kG1dp,ST
0.017285204345747984,0.01626678551711369,0.056687866756300664,0.04577060470878924,0.04925620890319271,0.17306916068990508,kSa,ST
0.49399934037125837,0.44331127007033977,0.31338012231420964,0.3284355210129424,0.23759380555603826,0.07061157185611855,kSi,ST
0.0006047292017683503,0.0007220061774860786,0.04339769644651603,0.039333658208185907,0.019996069499294777,0.08690917171138035,kp,ST
0.0011764550595377843,0.00041747114457824086,0.0356390493947375,0.04289882397182232,0.0137628917319923,0.03809328413794866,kdp,ST
0.004351764122143886,0.0013324005517458826,0.06549801698975499,0.04900827775410399,0.05315340669436153,0.15283976660281184,kEGFf,ST
0.0008362525794675113,0.0020559331682086235,0.028886279634266376,0.06813961996427798,0.01683632480642483,0.0676484014793195,kEGFr,ST
0.00725562989558759,0.001379783251555633,0.040148376256306406,0.043635597360951794,0.030558728316591677,0.11105939173987023,EGF,ST
0.0032145224212444257,0.002393930066325489,0.04575422299237353,0.05126847968418624,0.021057726872285132,0.02901924881766893,kdf,ST
0.0015855162585195481,0.00035113298737265985,0.0412593340709595,0.04071357161883338,0.016473577704427256,0.008377043439030674,kdr,ST
